,points_x,points_y,celltypes,phenotypes
0,0.0,0.0,Stroma,
1,0.0,0.686557,Stroma,
2,0.0,1.30227,Stroma,
3,0.0,2.52282,Stroma,
4,0.0,3.12996,Stroma,
5,0.0,3.72803,Stroma,
6,0.0,4.33009,Stroma,
7,0.0,4.93068,Stroma,
8,0.0,5.52453,Stroma,
9,0.0,6.13456,Stroma,
10,0.0,6.72786,Stroma,
11,0.0,7.93835,Stroma,
12,0.0,8.53527,Stroma,
13,0.0,9.15981,Stroma,
14,0.789428,10.0369,Stroma,
15,0.0,10.3639,Stroma,
16,0.0,11.574,Stroma,
17,0.0,12.1766,Stroma,
18,0.0,12.7875,Stroma,
19,0.0,13.3712,Stroma,
20,0.0,13.9651,Stroma,
21,0.0,14.5719,Stroma,
22,0.0,15.1791,Stroma,
23,0.0,15.7857,Stroma,
24,0.0,16.9841,Stroma,
25,0.0,17.5722,Stroma,
26,0.0,18.193,Stroma,
27,0.0,18.7746,Stroma,
28,0.0,19.4121,Stroma,
29,0.0,19.9699,Stroma,
30,0.0,20.5754,Stroma,
31,0.0,21.1863,Stroma,
32,0.0,21.7748,Stroma,
33,0.941725,22.8122,Stroma,
34,0.0,23.0097,Stroma,
35,0.0,24.2219,Stroma,
36,0.0,24.8263,Stroma,
37,0.0,25.4744,Stroma,
38,0.0,26.0755,Stroma,
39,0.767845,27.562,Stroma,
40,0.0,27.3262,Stroma,
41,0.0,28.5774,Stroma,
42,0.0,29.2298,Stroma,
43,0.0,29.8611,Stroma,
44,0.0,30.5557,Stroma,
45,0.0,31.2288,Stroma,
46,2.23534,32.3113,Stroma,
47,0.0,32.5084,Stroma,
48,0.0,33.8607,Stroma,
49,0.0,34.5567,Stroma,
50,0.0,35.2563,Stroma,
51,0.0,35.9662,Stroma,
52,0.0,36.6575,Stroma,
53,0.0,37.3069,Stroma,
54,1.48472,35.3108,Stroma,
55,0.0,38.6367,Stroma,
56,0.0,39.3663,Stroma,
57,0.0,40.057,Stroma,
58,0.0,40.7719,Stroma,
59,0.0,41.4164,Stroma,
60,0.0,42.0069,Stroma,
61,0.760756,34.0661,Stroma,
62,1.11708,29.4734,Stroma,
63,2.76362,43.5937,Stroma,
64,0.761405,41.3319,Stroma,
65,0.0,46.3144,Stroma,
66,0.0,46.9224,Stroma,
67,0.701616,0.0,Stroma,
68,0.793894,0.764453,Stroma,
69,0.785398,1.45548,Stroma,
70,0.791285,2.12245,Stroma,
71,0.777308,2.74697,Stroma,
72,0.804802,3.35622,Stroma,
73,0.788454,3.95869,Stroma,
74,0.791213,4.5677,Stroma,
75,0.760261,5.75634,Stroma,
76,0.819224,6.37239,Stroma,
77,0.828253,6.9502,Stroma,
78,0.741012,7.56062,Stroma,
79,0.817721,8.19475,Stroma,
80,0.717386,8.78712,Stroma,
81,1.4131,9.05393,Stroma,
82,0.746341,10.648,Stroma,
83,0.771841,11.8522,Stroma,
84,0.750196,12.4956,Stroma,
85,0.855019,13.0925,Stroma,
86,0.800149,13.6755,Stroma,
87,0.744946,14.3068,Stroma,
88,0.729216,14.98,Stroma,
89,0.779177,15.5813,Stroma,
90,1.54808,16.5905,Stroma,
91,0.856697,16.7741,Stroma,
92,0.806965,17.3373,Stroma,
93,0.71663,17.9666,Stroma,
94,0.997448,18.4787,Stroma,
95,0.688952,18.9701,Stroma,
96,0.839732,19.5547,Stroma,
97,0.911287,20.119,Stroma,
98,0.658847,20.6477,Stroma,
99,0.967917,21.1444,Stroma,
100,0.719564,21.6541,Stroma,
101,1.6265,22.6412,Stroma,
102,0.689843,23.3102,Stroma,
103,0.697061,24.0236,Stroma,
104,0.660333,25.1689,Stroma,
105,0.6601,26.312,Stroma,
106,0.712263,26.9955,Stroma,
107,0.629296,28.1625,Stroma,
108,0.620492,29.0391,Stroma,
109,1.06293,28.5484,Stroma,
110,3.17315,30.6308,Stroma,
111,2.83077,29.347,Stroma,
112,2.17571,34.0075,Stroma,
113,1.45437,30.7273,Stroma,
114,1.58787,32.9333,Stroma,
115,4.24266,33.6321,Stroma,
116,3.89291,34.2088,Stroma,
117,3.11957,36.0819,Stroma,
118,3.74409,35.6005,Stroma,
119,1.52836,33.6493,Stroma,
120,2.30803,35.5006,Stroma,
121,6.55109,35.2354,Stroma,
122,1.5183,37.8018,Stroma,
123,1.39432,31.4121,Stroma,
124,2.15059,38.3964,Stroma,
125,1.35709,37.1347,Stroma,
126,1.45307,36.0339,Stroma,
127,1.48267,38.6183,Stroma,
128,4.46565,35.6987,Stroma,
129,2.76852,38.1436,Stroma,
130,2.34447,28.8357,Stroma,
131,0.723072,35.6195,Stroma,
132,1.47573,49.2156,Stroma,
133,3.75224,50.0,Stroma,
134,1.34632,0.0,Stroma,
135,1.52405,0.774229,Stroma,
136,1.51212,1.5526,Stroma,
137,1.54386,2.2929,Stroma,
138,1.57204,2.95998,Stroma,
139,1.59675,3.60384,Stroma,
140,1.57035,4.21295,Stroma,
141,1.62076,4.81203,Stroma,
142,1.60482,5.41646,Stroma,
143,1.53295,6.01929,Stroma,
144,1.71707,6.60016,Stroma,
145,1.57864,7.15891,Stroma,
146,1.45173,7.80755,Stroma,
147,1.60433,8.475,Stroma,
148,1.60559,9.68912,Stroma,
149,1.53592,10.2917,Stroma,
150,1.51063,10.9158,Stroma,
151,1.4237,12.1433,Stroma,
152,1.53708,12.9015,Stroma,
153,1.45233,13.9291,Stroma,
154,1.34004,14.7373,Stroma,
155,1.59535,15.35,Stroma,
156,1.50575,15.9341,Stroma,
157,1.81091,17.1337,Stroma,
158,1.46019,17.6206,Stroma,
159,2.391,17.9862,Stroma,
160,1.73148,18.1487,Stroma,
161,1.65086,18.7981,Stroma,
162,3.26834,18.8538,Stroma,
163,1.54154,19.3802,Stroma,
164,2.02496,19.7496,Stroma,
165,1.5754,20.2753,Stroma,
166,1.57451,20.9228,Stroma,
167,0.678667,22.2975,Stroma,
168,1.68244,23.2695,Stroma,
169,1.25519,23.7051,Stroma,
170,0.809573,24.5932,Stroma,
171,0.815736,25.7496,Stroma,
172,1.25141,26.6546,Stroma,
173,1.37838,27.7695,Stroma,
174,1.75457,28.2427,Stroma,
175,2.83808,28.446,Stroma,
176,2.4746,30.2137,Stroma,
177,1.56157,30.0206,Stroma,
178,2.12615,31.5109,Stroma,
179,3.55167,32.3289,Stroma,
180,6.05289,33.3738,Stroma,
181,2.07445,34.8314,Stroma,
182,3.00871,32.8334,Stroma,
183,2.17714,36.0753,Stroma,
184,2.33171,37.1114,Stroma,
185,2.18874,37.6644,Stroma,
186,6.02592,34.8883,Stroma,
187,5.11934,35.1308,Stroma,
188,5.13271,35.9877,Stroma,
189,3.57745,36.9152,Stroma,
190,5.64153,38.392,Stroma,
191,4.82739,37.3446,Stroma,
192,2.35615,39.7411,Stroma,
193,4.8092,37.9401,Stroma,
194,4.54679,42.1879,Stroma,
195,1.80294,36.6995,Stroma,
196,3.14079,41.4001,Stroma,
197,2.19134,39.1352,Stroma,
198,0.773871,32.0108,Stroma,
199,2.1922,49.2372,Stroma,
200,4.82214,50.0,Stroma,
201,1.96012,0.0,Stroma,
202,2.20707,0.791723,Stroma,
203,2.20249,1.53171,Stroma,
204,2.24984,2.24252,Stroma,
205,2.31327,2.9814,Stroma,
206,2.34617,3.68784,Stroma,
207,2.37745,4.35278,Stroma,
208,2.43504,4.97321,Stroma,
209,2.34825,5.59526,Stroma,
210,2.39048,6.2154,Stroma,
211,2.60756,6.79232,Stroma,
212,2.34647,7.32403,Stroma,
213,2.12694,7.92154,Stroma,
214,2.29986,8.65404,Stroma,
215,2.18244,9.2751,Stroma,
216,2.39427,9.9297,Stroma,
217,2.27827,10.5049,Stroma,
218,1.63175,11.5246,Stroma,
219,2.04666,12.4118,Stroma,
220,1.8163,13.4369,Stroma,
221,1.9238,14.4363,Stroma,
222,2.23833,15.0087,Stroma,
223,2.3193,15.6827,Stroma,
224,2.19038,16.2999,Stroma,
225,2.45867,17.3884,Stroma,
226,4.00471,18.3412,Stroma,
227,3.40908,17.8428,Stroma,
228,2.32557,18.7815,Stroma,
229,5.46391,19.104,Stroma,
230,4.78547,18.4989,Stroma,
231,3.45839,19.5676,Stroma,
232,2.79657,20.0126,Stroma,
233,1.3636,22.0425,Stroma,
234,2.21272,22.4833,Stroma,
235,2.66416,22.9761,Stroma,
236,1.58348,24.2514,Stroma,
237,1.39541,24.859,Stroma,
238,1.38786,25.5798,Stroma,
239,1.59901,26.195,Stroma,
240,1.58,27.245,Stroma,
241,2.27879,27.9893,Stroma,
242,3.81026,29.3624,Stroma,
243,2.63349,30.9919,Stroma,
244,2.01857,30.7328,Stroma,
245,2.79228,32.1759,Stroma,
246,4.0386,32.8717,Stroma,
247,8.27873,30.9956,Stroma,
248,8.06676,32.2693,Stroma,
249,6.12902,32.6797,Stroma,
250,4.7554,32.7749,Stroma,
251,2.69595,36.4695,Stroma,
252,6.29858,35.8497,Stroma,
253,3.83068,36.3265,Stroma,
254,6.0139,39.0378,Stroma,
255,4.1013,37.3148,Stroma,
256,2.78187,38.8639,Stroma,
257,3.15731,37.7187,Stroma,
258,2.82558,40.7646,Stroma,
259,1.482,39.3985,Stroma,
260,3.67304,39.81,Stroma,
261,2.28988,45.4517,Stroma,
262,1.46592,40.8798,Stroma,
263,2.18824,42.248,Stroma,
264,1.54803,45.6106,Stroma,
265,1.30951,48.3917,Stroma,
266,2.81948,49.1809,Stroma,
267,5.35134,50.0,Stroma,
268,3.16419,0.0,Stroma,
269,2.87628,0.802726,Stroma,
270,2.9601,1.51515,Stroma,
271,2.94595,2.20465,Stroma,
272,3.01596,2.88819,Stroma,
273,3.06451,3.56138,Stroma,
274,3.14859,4.16556,Stroma,
275,3.2595,4.72893,Stroma,
276,3.18284,5.31214,Stroma,
277,3.12077,5.92293,Stroma,
278,3.366,6.49064,Stroma,
279,3.0797,7.58804,Stroma,
280,2.81405,8.15093,Stroma,
281,3.0426,8.8217,Stroma,
282,2.92658,9.4054,Stroma,
283,3.15698,10.0297,Stroma,
284,2.31327,11.1344,Stroma,
285,2.33489,11.8078,Stroma,
286,2.47863,12.8416,Stroma,
287,2.3972,14.0279,Stroma,
288,2.86324,15.0277,Stroma,
289,2.93125,15.7776,Stroma,
290,3.20623,16.3442,Stroma,
291,2.62185,16.7116,Stroma,
292,5.57499,17.5061,Stroma,
293,6.26237,17.9125,Stroma,
294,8.80257,20.7846,Stroma,
295,7.38205,20.5264,Stroma,
